calculating first covariance
(85215, 3)
         259047795 function calls (259044026 primitive calls) in 617.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    224/1    0.025    0.000  617.154  617.154 {built-in method builtins.exec}
        1    0.056    0.056  617.154  617.154 mesh.py:16(<module>)
        1    6.467    6.467  616.868  616.868 mesh.py:337(main)
        1  110.655  110.655  609.671  609.671 mesh.py:167(norms)
  1857996   29.279    0.000  254.537    0.000 mesh.py:46(volume_tetra)
  1857996   76.559    0.000  205.652    0.000 numeric.py:1600(cross)
  5573988   31.747    0.000  111.937    0.000 numeric.py:1524(moveaxis)
  1943197    6.793    0.000   60.067    0.000 fromnumeric.py:2817(mean)
 11147976   42.408    0.000   59.861    0.000 numeric.py:1468(normalize_axis_tuple)
  1943197   27.565    0.000   53.274    0.000 _methods.py:58(_mean)
  1857996   26.137    0.000   48.714    0.000 linalg.py:1970(det)
  1857996    3.787    0.000   35.320    0.000 shape_base.py:182(vstack)
  3773889   32.904    0.000   32.904    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1857996    3.763    0.000   25.116    0.000 shape_base.py:234(<listcomp>)
  5573988   23.843    0.000   23.843    0.000 {built-in method numpy.core.multiarray.concatenate}
  5573988   14.492    0.000   21.354    0.000 shape_base.py:63(atleast_2d)
   137142    2.311    0.000   19.909    0.000 mesh.py:150(anisotropy)
  3801193   19.180    0.000   19.180    0.000 {built-in method numpy.core.multiarray.dot}
  4160688   18.625    0.000   18.625    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1352742    3.961    0.000   15.744    0.000 fromnumeric.py:64(_wrapreduction)
 16721964   12.609    0.000   12.609    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
 22295952    7.786    0.000   12.405    0.000 numeric.py:1515(<genexpr>)
   137142    5.881    0.000   12.333    0.000 linalg.py:953(eigvals)
    85201    5.949    0.000   11.029    0.000 {method 'query' of 'scipy.spatial.ckdtree.cKDTree' objects}
 15734755   10.752    0.000   10.752    0.000 {built-in method numpy.core.multiarray.array}
  2080339    5.742    0.000    9.657    0.000 linalg.py:141(_commonType)
    85201    0.380    0.000    9.083    0.000 mesh.py:137(max_eig_vect)
    85201    4.489    0.000    8.374    0.000 linalg.py:1140(eig)
  1857996    8.014    0.000    8.014    0.000 {method 'astype' of 'numpy.generic' objects}
  7517186    3.236    0.000    6.915    0.000 numeric.py:504(asanyarray)
  5573988    6.854    0.000    6.854    0.000 {method 'transpose' of 'numpy.ndarray' objects}
