TODO: sort w.r.t. cumtime instead of totttime?  not sure what the diff is atm


real  13m58.350s
user  13m57.114s
sys 0m1.192s

         259048257 function calls (259044488 primitive calls) in 838.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  153.167  153.167  829.978  829.978 mesh.py:165(norms)
  1857996  105.867    0.000  279.686    0.000 numeric.py:1600(cross)
 11147976   58.546    0.000   81.940    0.000 numeric.py:1468(normalize_axis_tuple)
  3773917   45.715    0.000   45.715    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  5573988   41.972    0.000  150.812    0.000 numeric.py:1524(moveaxis)
  1857996   39.403    0.000  346.048    0.000 mesh.py:46(volume_tetra)
  1943197   37.892    0.000   72.953    0.000 _methods.py:58(_mean)
  1857996   35.029    0.000   63.828    0.000 linalg.py:1970(det)
  5573988   32.557    0.000   32.557    0.000 {built-in method numpy.core.multiarray.concatenate}
  3801193   26.054    0.000   26.054    0.000 {built-in method numpy.core.multiarray.dot}
  4160716   25.140    0.000   25.140    0.000 {method 'astype' of 'numpy.ndarray' objects}
  5573988   19.322    0.000   28.437    0.000 shape_base.py:63(atleast_2d)
 16721964   16.857    0.000   16.857    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
 15734769   14.448    0.000   14.448    0.000 {built-in method numpy.core.multiarray.array}
 22295952   10.736    0.000   16.911    0.000 numeric.py:1515(<genexpr>)
  1857996   10.294    0.000   10.294    0.000 {method 'astype' of 'numpy.generic' objects}
  1943197    9.477    0.000   82.430    0.000 fromnumeric.py:2817(mean)
  5573988    9.271    0.000    9.271    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  5573990    8.968    0.000    8.968    0.000 {built-in method builtins.sorted}
   137142    8.939    0.000   17.849    0.000 linalg.py:953(eigvals)
    85201    8.780    0.000   15.864    0.000 {method 'query' of 'scipy.spatial.ckdtree.cKDTree' objects}
41461447/41461322    7.441    0.000    7.441    0.000 {built-in method builtins.len}
        1    7.206    7.206  837.880  837.880 mesh.py:334(main)
  2080353    7.034    0.000   11.873    0.000 linalg.py:141(_commonType)
  2530667    6.024    0.000    6.024    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  1352756    5.565    0.000   22.095    0.000 fromnumeric.py:64(_wrapreduction)
  1857996    5.327    0.000   33.764    0.000 shape_base.py:234(<listcomp>)
  2080771    5.072    0.000    5.072    0.000 {method 'format' of 'str' objects}
  1857996    4.987    0.000   47.510    0.000 shape_base.py:182(vstack)
  1943197    4.980    0.000    6.415    0.000 _methods.py:48(_count_reduce_items)
    85215    4.625    0.000    9.418    0.000 linalg.py:1140(eig)
  7517186    4.382    0.000    9.159    0.000 numeric.py:504(asanyarray)
  5573993    4.320    0.000    4.320    0.000 {method 'insert' of 'list' objects}
10350064/10350030    3.542    0.000    3.542    0.000 {built-in method builtins.issubclass}
  5881546    3.391    0.000    7.558    0.000 numeric.py:433(asarray)
   137142    3.261    0.000   28.502    0.000 mesh.py:148(anisotropy)
  5573988    3.050    0.000    3.050    0.000 numeric.py:1586(<listcomp>)
  1858018    3.029    0.000    3.029    0.000 {built-in method numpy.core.multiarray.empty}
  4626127    2.948    0.000    2.948    0.000 {built-in method builtins.isinstance}
  2080353    2.725    0.000    2.725    0.000 linalg.py:211(_assertNdSquareness)
 11147976    2.241    0.000    2.241    0.000 {built-in method _operator.index}
   222343    2.204    0.000    5.026    0.000 shape_base.py:1069(tile)
  2080353    2.112    0.000    2.112    0.000 linalg.py:200(_assertRankAtLeast2)
  4383063    2.084    0.000    3.248    0.000 linalg.py:113(isComplexType)
  2224279    1.612    0.000    2.533    0.000 linalg.py:126(_realType)
  1857996    1.509    0.000    1.509    0.000 {built-in method numpy.core.multiarray.promote_types}
   411426    1.509    0.000    9.160    0.000 fromnumeric.py:1821(sum)
  5578966    1.495    0.000    1.495    0.000 {method 'append' of 'list' objects}
   222357    1.434    0.000    4.470    0.000 linalg.py:217(_assertFinite)
  1858037    1.157    0.000    1.157    0.000 {built-in method sys._getframe}
  2080341    1.004    0.000    1.004    0.000 utils.py:39(pif)
  1995210    0.984    0.000    0.984    0.000 {built-in method builtins.abs}
  2303441    0.973    0.000    0.973    0.000 {method 'get' of 'dict' objects}
   137143    0.698    0.000    0.698    0.000 {method 'dot' of 'numpy.ndarray' objects}
   222358    0.653    0.000    3.940    0.000 fromnumeric.py:2016(all)
   222357    0.580    0.000    0.580    0.000 linalg.py:103(get_linalg_error_extobj)
   274284    0.569    0.000    4.548    0.000 fromnumeric.py:1933(any)
   481000    0.480    0.000    0.480    0.000 {built-in method builtins.getattr}
   222357    0.479    0.000    3.036    0.000 {method 'all' of 'numpy.ndarray' objects}
   222344    0.477    0.000    3.359    0.000 fromnumeric.py:2227(amax)
